Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales after discounts , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Paseo , Low ," $4,251.00 ", $10.00 , $7.00 ," $29,757.00 "," $1,190.28 "," $28,566.72 "," $(13,943.28)",1/1/2014,1, January ,2014
Government,Canada, Paseo , Low ," $2,074.00 ", $10.00 , $20.00 ," $41,480.00 "," $1,659.20 "," $39,820.80 "," $19,080.80 ",9/1/2014,9, September ,2014
Government,Canada, Velo , Low ," $2,646.00 ", $120.00 , $20.00 ," $52,920.00 "," $2,116.80 "," $50,803.20 "," $(266,716.80)",9/1/2013,9, September ,2013
Government,Canada, Amarilla , Low ," $1,778.00 ", $260.00 , $350.00 ," $622,300.00 "," $24,892.00 "," $597,408.00 "," $135,128.00 ",12/1/2013,12, December ,2013
Government,Canada, Paseo , Medium ," $2,349.00 ", $10.00 , $7.00 ," $16,443.00 ", $822.15 ," $15,620.85 "," $(7,869.15)",9/1/2013,9, September ,2013
Government,Canada, Paseo , Medium ," $1,228.00 ", $10.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 "," $396,030.00 ",10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ," $1,389.00 ", $10.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 "," $12,501.00 ",10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ," $1,802.00 ", $10.00 , $20.00 ," $36,040.00 "," $1,802.00 "," $34,238.00 "," $16,218.00 ",12/1/2013,12, December ,2013
Government,Canada, VTT , Medium ," $1,389.00 ", $250.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 "," $(320,859.00)",10/1/2013,10, October ,2013
Government,Canada, Amarilla , Medium , $552.00 , $260.00 , $350.00 ," $193,200.00 "," $9,660.00 "," $183,540.00 "," $40,020.00 ",8/1/2014,8, August ,2014
Government,Canada, Amarilla , Medium ," $1,228.00 ", $260.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 "," $89,030.00 ",10/1/2013,10, October ,2013
Government,Canada, Velo , Medium ," $1,135.00 ", $120.00 , $7.00 ," $7,945.00 ", $556.15 ," $7,388.85 "," $(128,811.15)",6/1/2014,6, June ,2014
Government,Canada, Velo , Medium ," $1,582.00 ", $120.00 , $7.00 ," $11,074.00 ", $775.18 ," $10,298.82 "," $(179,541.18)",12/1/2014,12, December ,2014
Government,Canada, VTT , Medium ," $1,582.00 ", $250.00 , $7.00 ," $11,074.00 ", $775.18 ," $10,298.82 "," $(385,201.18)",12/1/2014,12, December ,2014
Government,Canada, Amarilla , Medium ," $1,135.00 ", $260.00 , $7.00 ," $7,945.00 ", $556.15 ," $7,388.85 "," $(287,711.15)",6/1/2014,6, June ,2014
Government,Canada, Amarilla , Medium ," $1,118.00 ", $260.00 , $20.00 ," $22,360.00 "," $1,565.20 "," $20,794.80 "," $(269,885.20)",11/1/2014,11, November ,2014
Government,United States of America, Montana , High ," $2,328.00 ", $5.00 , $7.00 ," $16,296.00 "," $1,629.60 "," $14,666.40 "," $3,026.40 ",9/1/2014,9, September ,2014
Government,Canada, Paseo , Medium , $257.00 , $10.00 , $7.00 ," $1,799.00 ", $143.92 ," $1,655.08 ", $(914.92),5/1/2014,5, May ,2014
Government,United States of America, Montana , High ," $2,313.00 ", $5.00 , $350.00 ," $809,550.00 "," $80,955.00 "," $728,595.00 "," $717,030.00 ",5/1/2014,5, May ,2014
Government,Canada, Amarilla , Medium , $708.00 , $260.00 , $20.00 ," $14,160.00 "," $1,132.80 "," $13,027.20 "," $(171,052.80)",6/1/2014,6, June ,2014
Government,United States of America, Montana , High , $982.50 , $5.00 , $350.00 ," $343,875.00 "," $44,703.75 "," $299,171.25 "," $294,258.75 ",1/1/2014,1, January ,2014
Government,Canada, Velo , Medium ," $1,269.00 ", $120.00 , $350.00 ," $444,150.00 "," $39,973.50 "," $404,176.50 "," $251,896.50 ",10/1/2014,10, October ,2014
Government,Canada, Amarilla , Medium ," $1,269.00 ", $260.00 , $350.00 ," $444,150.00 "," $39,973.50 "," $404,176.50 "," $74,236.50 ",10/1/2014,10, October ,2014
Government,Canada, Carretera , Medium , $819.00 , $3.00 , $7.00 ," $5,733.00 ", $515.97 ," $5,217.03 "," $2,760.03 ",7/1/2014,7, July ,2014
Government,Canada, Amarilla , High ," $2,240.00 ", $260.00 , $350.00 ," $784,000.00 "," $78,400.00 "," $705,600.00 "," $123,200.00 ",2/1/2014,2, February ,2014
Government,Canada, Amarilla , High , $707.00 , $260.00 , $350.00 ," $247,450.00 "," $24,745.00 "," $222,705.00 "," $38,885.00 ",9/1/2014,9, September ,2014
Government,Canada, Paseo , High ," $2,104.50 ", $10.00 , $350.00 ," $736,575.00 "," $81,023.25 "," $655,551.75 "," $634,506.75 ",7/1/2014,7, July ,2014
Government,Canada, Paseo , High ," $2,394.00 ", $10.00 , $20.00 ," $47,880.00 "," $5,266.80 "," $42,613.20 "," $18,673.20 ",8/1/2014,8, August ,2014
Government,Canada, Velo , High ," $1,808.00 ", $120.00 , $7.00 ," $12,656.00 "," $1,392.16 "," $11,263.84 "," $(205,696.16)",11/1/2014,11, November ,2014
Government,Canada, VTT , High ," $2,935.00 ", $250.00 , $20.00 ," $58,700.00 "," $6,457.00 "," $52,243.00 "," $(681,507.00)",11/1/2013,11, November ,2013
Government,United States of America, Montana , High ," $1,298.00 ", $5.00 , $7.00 ," $9,086.00 "," $1,181.18 "," $7,904.82 "," $1,414.82 ",2/1/2014,2, February ,2014
Government,Canada, VTT , High , $623.00 , $250.00 , $350.00 ," $218,050.00 "," $26,166.00 "," $191,884.00 "," $36,134.00 ",9/1/2013,9, September ,2013
Government,Canada, Amarilla , High ," $2,734.00 ", $260.00 , $7.00 ," $19,138.00 "," $2,296.56 "," $16,841.44 "," $(693,998.56)",10/1/2014,10, October ,2014
Government,Canada, Carretera , High , $923.00 , $3.00 , $350.00 ," $323,050.00 "," $41,996.50 "," $281,053.50 "," $278,284.50 ",3/1/2014,3, March ,2014
Government,United States of America, Montana , High ," $2,996.00 ", $5.00 , $7.00 ," $20,972.00 "," $2,936.08 "," $18,035.92 "," $3,055.92 ",10/1/2013,10, October ,2013
Government,Canada, Paseo , High ," $2,632.00 ", $10.00 , $350.00 ," $921,200.00 "," $119,756.00 "," $801,444.00 "," $775,124.00 ",6/1/2014,6, June ,2014
Government,Canada, Paseo , High ," $1,249.00 ", $10.00 , $20.00 ," $24,980.00 "," $3,247.40 "," $21,732.60 "," $9,242.60 ",10/1/2014,10, October ,2014
Government,Canada, Velo , High ," $2,632.00 ", $120.00 , $350.00 ," $921,200.00 "," $119,756.00 "," $801,444.00 "," $485,604.00 ",6/1/2014,6, June ,2014
Government,Canada, Paseo , High ," $2,428.00 ", $10.00 , $20.00 ," $48,560.00 "," $6,798.40 "," $41,761.60 "," $17,481.60 ",3/1/2014,3, March ,2014
Enterprise,United States of America, Montana , Low , $663.00 , $5.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $78,731.25 ",10/1/2013,10, October ,2013
Enterprise,United States of America, Montana , Medium ," $3,627.00 ", $5.00 , $125.00 ," $453,375.00 "," $22,668.75 "," $430,706.25 "," $412,571.25 ",7/1/2014,7, July ,2014
Enterprise,United States of America, Montana , Medium ," $2,797.00 ", $5.00 , $125.00 ," $349,625.00 "," $31,466.25 "," $318,158.75 "," $304,173.75 ",12/1/2014,12, December ,2014
Government,Canada, Paseo , High , $700.00 , $10.00 , $350.00 ," $245,000.00 "," $34,300.00 "," $210,700.00 "," $203,700.00 ",11/1/2014,11, November ,2014
Government,Canada, VTT , High , $865.50 , $250.00 , $20.00 ," $17,310.00 "," $2,596.50 "," $14,713.50 "," $(201,661.50)",7/1/2014,7, July ,2014
Government,Canada, Paseo , High , $723.00 , $10.00 , $7.00 ," $5,061.00 ", $759.15 ," $4,301.85 "," $(2,928.15)",4/1/2014,4, April ,2014
Midmarket,Canada, Paseo , None ," $2,152.00 ", $10.00 , $15.00 ," $32,280.00 ", $-   ," $32,280.00 "," $10,760.00 ",12/1/2013,12, December ,2013
Midmarket,Canada, Paseo , Low ," $2,363.00 ", $10.00 , $15.00 ," $35,445.00 ", $708.90 ," $34,736.10 "," $11,106.10 ",2/1/2014,2, February ,2014
Enterprise,United States of America, Montana , High ," $1,804.00 ", $5.00 , $125.00 ," $225,500.00 "," $22,550.00 "," $202,950.00 "," $193,930.00 ",11/1/2013,11, November ,2013
Midmarket,Canada, Paseo , Low , $218.00 , $10.00 , $15.00 ," $3,270.00 ", $130.80 ," $3,139.20 ", $959.20 ,9/1/2014,9, September ,2014
Midmarket,Canada, Carretera , Medium ," $2,844.00 ", $3.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 "," $31,568.40 ",6/1/2014,6, June ,2014
Midmarket,Canada, VTT , Medium ," $2,844.00 ", $250.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 "," $(670,899.60)",6/1/2014,6, June ,2014
Midmarket,Canada, Velo , Medium ," $1,262.00 ", $120.00 , $15.00 ," $18,930.00 "," $1,325.10 "," $17,604.90 "," $(133,835.10)",5/1/2014,5, May ,2014
Midmarket,Canada, Amarilla , Medium ," $1,630.50 ", $260.00 , $15.00 ," $24,457.50 "," $2,201.18 "," $22,256.33 "," $(401,673.68)",7/1/2014,7, July ,2014
Midmarket,Canada, Velo , High , $384.00 , $120.00 , $15.00 ," $5,760.00 ", $633.60 ," $5,126.40 "," $(40,953.60)",1/1/2014,1, January ,2014
Midmarket,Canada, Carretera , High ," $1,560.00 ", $3.00 , $15.00 ," $23,400.00 "," $2,574.00 "," $20,826.00 "," $16,146.00 ",11/1/2013,11, November ,2013
Midmarket,Canada, Carretera , High ," $2,689.00 ", $3.00 , $15.00 ," $40,335.00 "," $4,840.20 "," $35,494.80 "," $27,427.80 ",11/1/2014,11, November ,2014
Midmarket,Canada, Paseo , High ," $1,565.00 ", $10.00 , $15.00 ," $23,475.00 "," $3,051.75 "," $20,423.25 "," $4,773.25 ",10/1/2014,10, October ,2014
Midmarket,Canada, VTT , High ," $1,565.00 ", $250.00 , $15.00 ," $23,475.00 "," $3,051.75 "," $20,423.25 "," $(370,826.75)",10/1/2014,10, October ,2014
Midmarket,Canada, Carretera , High ," $2,300.00 ", $3.00 , $15.00 ," $34,500.00 "," $4,830.00 "," $29,670.00 "," $22,770.00 ",12/1/2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ," $1,142.00 ", $5.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $7,719.92 ",6/1/2014,6, June ,2014
Midmarket,Canada, Paseo , High ," $2,470.00 ", $10.00 , $15.00 ," $37,050.00 "," $5,187.00 "," $31,863.00 "," $7,163.00 ",9/1/2013,9, September ,2013
Midmarket,Canada, Paseo , High ," $1,743.00 ", $10.00 , $15.00 ," $26,145.00 "," $3,660.30 "," $22,484.70 "," $5,054.70 ",10/1/2013,10, October ,2013
Midmarket,Canada, Amarilla , High ," $1,743.00 ", $260.00 , $15.00 ," $26,145.00 "," $3,660.30 "," $22,484.70 "," $(430,695.30)",10/1/2013,10, October ,2013
Midmarket,Canada, Paseo , High ," $1,614.00 ", $10.00 , $15.00 ," $24,210.00 "," $3,631.50 "," $20,578.50 "," $4,438.50 ",4/1/2014,4, April ,2014
Midmarket,Canada, Paseo , High ," $2,559.00 ", $10.00 , $15.00 ," $38,385.00 "," $5,757.75 "," $32,627.25 "," $7,037.25 ",8/1/2014,8, August ,2014
Small Business,Canada, VTT , None ," $2,001.00 ", $250.00 , $300.00 ," $600,300.00 ", $-   ," $600,300.00 "," $100,050.00 ",2/1/2014,2, February ,2014
Small Business,Canada, Paseo , Low ," $1,916.00 ", $10.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $544,144.00 ",12/1/2014,12, December ,2014
Small Business,Canada, Amarilla , Low ," $1,916.00 ", $260.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $65,144.00 ",12/1/2014,12, December ,2014
Small Business,Canada, VTT , Low ," $1,874.00 ", $250.00 , $300.00 ," $562,200.00 "," $16,866.00 "," $545,334.00 "," $76,834.00 ",8/1/2014,8, August ,2014
Small Business,Canada, VTT , Medium ," $2,436.00 ", $250.00 , $300.00 ," $730,800.00 "," $43,848.00 "," $686,952.00 "," $77,952.00 ",12/1/2013,12, December ,2013
Small Business,Canada, Paseo , Medium ," $1,702.00 ", $10.00 , $300.00 ," $510,600.00 "," $35,742.00 "," $474,858.00 "," $457,838.00 ",5/1/2014,5, May ,2014
Small Business,Canada, Paseo , Medium ," $1,404.00 ", $10.00 , $300.00 ," $421,200.00 "," $29,484.00 "," $391,716.00 "," $377,676.00 ",11/1/2013,11, November ,2013
Channel Partners,United States of America, Montana , Medium ," $2,723.00 ", $5.00 , $12.00 ," $32,676.00 "," $1,960.56 "," $30,715.44 "," $17,100.44 ",11/1/2014,11, November ,2014
Small Business,Canada, VTT , Medium ," $2,134.00 ", $250.00 , $300.00 ," $640,200.00 "," $51,216.00 "," $588,984.00 "," $55,484.00 ",9/1/2014,9, September ,2014
Small Business,Canada, Carretera , Medium ," $1,094.00 ", $3.00 , $300.00 ," $328,200.00 "," $29,538.00 "," $298,662.00 "," $295,380.00 ",6/1/2014,6, June ,2014
Small Business,Mexico, Montana , None , $958.00 , $5.00 , $300.00 ," $287,400.00 ", $-   ," $287,400.00 "," $282,610.00 ",8/1/2014,8, August ,2014
Small Business,Canada, Paseo , Medium ," $1,094.00 ", $10.00 , $300.00 ," $328,200.00 "," $29,538.00 "," $298,662.00 "," $287,722.00 ",6/1/2014,6, June ,2014
Small Business,Canada, Velo , Medium ," $3,793.50 ", $120.00 , $300.00 ," $1,138,050.00 "," $102,424.50 "," $1,035,625.50 "," $580,405.50 ",7/1/2014,7, July ,2014
Small Business,Canada, Paseo , High , $873.00 , $10.00 , $300.00 ," $261,900.00 "," $28,809.00 "," $233,091.00 "," $224,361.00 ",1/1/2014,1, January ,2014
Small Business,Canada, Paseo , High ," $1,366.00 ", $10.00 , $300.00 ," $409,800.00 "," $45,078.00 "," $364,722.00 "," $351,062.00 ",11/1/2014,11, November ,2014
Small Business,Canada, Carretera , High ," $1,496.00 ", $3.00 , $300.00 ," $448,800.00 "," $62,832.00 "," $385,968.00 "," $381,480.00 ",10/1/2014,10, October ,2014
Small Business,Canada, Velo , High , $269.00 , $120.00 , $300.00 ," $80,700.00 "," $11,298.00 "," $69,402.00 "," $37,122.00 ",10/1/2013,10, October ,2013
Small Business,Canada, VTT , High , $269.00 , $250.00 , $300.00 ," $80,700.00 "," $11,298.00 "," $69,402.00 "," $2,152.00 ",10/1/2013,10, October ,2013
Small Business,Canada, VTT , High ," $1,496.00 ", $250.00 , $300.00 ," $448,800.00 "," $62,832.00 "," $385,968.00 "," $11,968.00 ",10/1/2014,10, October ,2014
Small Business,Canada, Amarilla , High , $888.00 , $260.00 , $300.00 ," $266,400.00 "," $37,296.00 "," $229,104.00 "," $(1,776.00)",3/1/2014,3, March ,2014
Channel Partners,France, Carretera , Low ," $2,671.00 ", $3.00 , $12.00 ," $32,052.00 ", $320.52 ," $31,731.48 "," $23,718.48 ",9/1/2014,9, September ,2014
Channel Partners,France, Paseo , Low ," $1,785.00 ", $10.00 , $12.00 ," $21,420.00 ", $428.40 ," $20,991.60 "," $3,141.60 ",11/1/2013,11, November ,2013
Channel Partners,France, Paseo , Low ," $1,055.00 ", $10.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $1,856.80 ",12/1/2014,12, December ,2014
Channel Partners,France, Velo , Low ," $1,055.00 ", $120.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $(114,193.20)",12/1/2014,12, December ,2014
Small Business,Mexico, Montana , Medium ," $1,100.00 ", $5.00 , $300.00 ," $330,000.00 "," $16,500.00 "," $313,500.00 "," $308,000.00 ",12/1/2013,12, December ,2013
Channel Partners,France, Paseo , Low ," $1,901.00 ", $10.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 "," $3,117.64 ",6/1/2014,6, June ,2014
Channel Partners,France, VTT , Low , $866.00 , $250.00 , $12.00 ," $10,392.00 ", $415.68 ," $9,976.32 "," $(206,523.68)",5/1/2014,5, May ,2014
Channel Partners,France, Carretera , Medium ," $1,865.00 ", $3.00 , $12.00 ," $22,380.00 "," $1,119.00 "," $21,261.00 "," $15,666.00 ",2/1/2014,2, February ,2014
Small Business,Mexico, Montana , High , $546.00 , $5.00 , $300.00 ," $163,800.00 "," $24,570.00 "," $139,230.00 "," $136,500.00 ",10/1/2014,10, October ,2014
Channel Partners,France, VTT , Medium ," $1,738.50 ", $250.00 , $12.00 ," $20,862.00 "," $1,460.34 "," $19,401.66 "," $(415,223.34)",4/1/2014,4, April ,2014
Channel Partners,France, VTT , Medium ," $2,234.00 ", $250.00 , $12.00 ," $26,808.00 "," $2,412.72 "," $24,395.28 "," $(534,104.72)",9/1/2013,9, September ,2013
Channel Partners,France, Velo , Medium ," $1,967.00 ", $120.00 , $12.00 ," $23,604.00 "," $2,124.36 "," $21,479.64 "," $(214,560.36)",3/1/2014,3, March ,2014
Channel Partners,France, Amarilla , Medium , $306.00 , $260.00 , $12.00 ," $3,672.00 ", $330.48 ," $3,341.52 "," $(76,218.48)",12/1/2013,12, December ,2013
Channel Partners,France, Carretera , High ," $1,198.00 ", $3.00 , $12.00 ," $14,376.00 "," $1,581.36 "," $12,794.64 "," $9,200.64 ",10/1/2013,10, October ,2013
Channel Partners,France, Paseo , High ," $1,198.00 ", $10.00 , $12.00 ," $14,376.00 "," $1,581.36 "," $12,794.64 ", $814.64 ,10/1/2013,10, October ,2013
